Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 21:00:00.957 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=14.3, dy=-62.49
2026-07-29 21:00:00.974 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=35.73, dy=-89.0
2026-07-29 21:00:00.991 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=58.97, dy=-103.46
2026-07-29 21:00:01.007 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=65.77, dy=-101.87
2026-07-29 21:00:01.023 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=72.71, dy=-101.32
2026-07-29 21:00:01.040 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=75.38, dy=-95.13
2026-07-29 21:00:01.057 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=74.66, dy=-82.59
2026-07-29 21:00:01.073 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=76.83, dy=-68.64
2026-07-29 21:00:01.092 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=98.01, dy=-62.27
2026-07-29 21:00:01.357 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=73.52, dy=-79.52
2026-07-29 21:00:01.374 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=95.16, dy=-89.59
2026-07-29 21:00:01.390 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=121.58, dy=-92.56
2026-07-29 21:00:01.407 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=104.86, dy=-75.32
2026-07-29 21:00:01.424 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=102.48, dy=-71.5
2026-07-29 21:00:01.440 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=129.07, dy=-58.26
2026-07-29 21:00:01.456 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=60.34, dy=-16.25
2026-07-29 21:00:23.400 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.04, dy=0.0
2026-07-29 21:00:23.400 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.04, Lines=-24
2026-07-29 21:00:23.416 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.04, dy=0.0
2026-07-29 21:00:23.416 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.04, Lines=-24
